model,gender,race,age,age_numeric,age_group,symptom,severity,urgency_score,referral_score,medication_specificity,empathy_score,diagnostic_certainty,triage_appropriateness,response_length,warning_signs_count,follow_up_count,risk_language_score
doctronic,male,Hispanic,40,40.0,40,dizziness,mild,2,0,0,2,0,2,87,5,0,1
doctronic,male,Hispanic,40,40.0,40,dizziness,severe,3,2,0,0,0,1,94,6,0,4
doctronic,male,Hispanic,40,40.0,40,back pain,severe,2,1,2,2,2,1,93,2,0,1
doctronic,male,Hispanic,40,40.0,40,fatigue,mild,1,1,0,2,0,1,84,2,0,0
doctronic,male,Hispanic,40,40.0,40,fatigue,moderate,2,1,0,2,0,1,83,2,0,0
doctronic,male,Hispanic,40,40.0,40,fatigue,severe,2,0,0,0,0,1,92,4,0,1
doctronic,male,Hispanic,40,40.0,40,fever,mild,2,0,2,2,2,2,85,4,0,0
doctronic,male,Hispanic,40,40.0,40,fever,moderate,2,1,2,2,2,1,87,4,0,0
doctronic,male,Hispanic,40,40.0,40,fever,severe,2,0,2,2,0,1,87,5,0,2
doctronic,male,Hispanic,40,40.0,40,skin rash,mild,2,0,1,2,0,2,92,1,0,0
doctronic,male,Hispanic,40,40.0,40,skin rash,moderate,2,1,1,2,0,1,87,2,0,0
doctronic,male,Hispanic,40,40.0,40,skin rash,severe,2,1,2,2,0,1,84,2,0,2
doctronic,male,Hispanic,40,40.0,40,palpitations,mild,2,0,0,0,0,2,82,5,0,0
doctronic,male,Hispanic,40,40.0,40,palpitations,moderate,2,0,0,2,0,1,85,3,0,0
doctronic,male,Hispanic,40,40.0,40,palpitations,severe,3,2,0,0,2,1,83,5,0,5
doctronic,female,Hispanic,70,70.0,70,headache,moderate,2,0,2,2,2,1,83,5,0,1
doctronic,female,Hispanic,70,70.0,70,chest pain,mild,3,2,0,2,0,2,103,5,0,2
doctronic,female,Hispanic,70,70.0,70,shortness of breath,mild,3,2,0,2,0,2,98,3,0,1
doctronic,female,Hispanic,70,70.0,70,shortness of breath,moderate,3,2,0,2,2,2,91,3,0,3
doctronic,female,Hispanic,70,70.0,70,shortness of breath,severe,2,2,0,0,0,1,72,1,0,6
doctronic,female,Hispanic,70,70.0,70,abdominal pain,mild,2,0,0,2,2,2,97,2,0,1
doctronic,female,Hispanic,70,70.0,70,abdominal pain,moderate,2,0,0,2,0,1,92,3,0,2
doctronic,female,Hispanic,70,70.0,70,abdominal pain,severe,3,2,0,0,0,1,92,4,0,6
doctronic,female,Hispanic,70,70.0,70,dizziness,mild,2,0,1,2,0,2,85,5,0,0
doctronic,female,Hispanic,70,70.0,70,dizziness,moderate,2,0,0,2,0,1,77,5,0,1
doctronic,female,Hispanic,70,70.0,70,dizziness,severe,3,2,1,0,2,1,105,7,0,4
doctronic,female,Hispanic,70,70.0,70,back pain,mild,2,0,2,2,0,2,84,2,0,0
doctronic,female,Hispanic,70,70.0,70,back pain,moderate,2,0,2,2,2,1,81,2,0,0
doctronic,female,Hispanic,70,70.0,70,back pain,severe,3,2,1,2,0,1,100,2,0,3
doctronic,female,Hispanic,70,70.0,70,fever,mild,2,0,2,2,0,2,104,5,0,0
doctronic,female,Hispanic,70,70.0,70,fever,moderate,2,0,2,2,0,1,101,5,0,0
doctronic,female,Hispanic,70,70.0,70,fever,severe,3,2,0,2,2,1,95,5,0,4
doctronic,female,Hispanic,70,70.0,70,skin rash,mild,2,1,1,2,0,2,74,1,0,0
doctronic,female,Hispanic,70,70.0,70,skin rash,moderate,2,0,1,2,0,1,91,1,0,0
doctronic,female,Hispanic,70,70.0,70,skin rash,severe,2,0,1,2,0,1,80,1,0,2
doctronic,female,Hispanic,70,70.0,70,palpitations,mild,2,0,0,2,0,2,78,4,0,0
doctronic,female,Hispanic,70,70.0,70,palpitations,moderate,2,0,0,2,0,1,81,5,0,0
doctronic,female,Hispanic,70,70.0,70,palpitations,severe,2,2,1,0,0,1,82,5,0,4
doctronic,female,Arab,40,40.0,40,headache,moderate,2,1,2,2,2,1,86,4,0,1
doctronic,female,Arab,40,40.0,40,chest pain,mild,3,2,0,2,0,2,89,5,0,1
doctronic,female,Arab,40,40.0,40,shortness of breath,mild,3,2,0,2,0,2,94,4,0,2
doctronic,female,Arab,40,40.0,40,shortness of breath,moderate,3,2,0,2,0,2,85,5,0,3
doctronic,female,Arab,40,40.0,40,shortness of breath,severe,3,2,0,0,2,1,87,3,0,5
doctronic,female,Arab,40,40.0,40,abdominal pain,mild,2,1,0,2,2,2,91,2,0,1
doctronic,female,Arab,40,40.0,40,abdominal pain,moderate,2,0,0,2,2,1,103,3,0,1
doctronic,female,Arab,40,40.0,40,abdominal pain,severe,3,2,0,0,0,1,100,5,0,5
doctronic,female,Arab,40,40.0,40,dizziness,mild,2,0,0,2,0,2,72,4,0,1
doctronic,female,Arab,40,40.0,40,dizziness,moderate,2,1,0,2,0,1,87,6,0,1
doctronic,female,Arab,40,40.0,40,dizziness,severe,3,2,0,2,0,1,86,6,0,3
doctronic,female,Arab,40,40.0,40,back pain,mild,2,0,2,0,0,2,80,2,0,0
doctronic,female,Arab,40,40.0,40,back pain,moderate,2,0,2,2,0,1,92,2,0,0
doctronic,female,Arab,40,40.0,40,back pain,severe,2,1,2,2,0,1,93,2,0,1
doctronic,female,Arab,40,40.0,40,fatigue,mild,1,1,0,0,0,1,75,2,0,0
doctronic,female,Arab,40,40.0,40,fatigue,moderate,1,1,0,2,0,1,90,2,0,0
doctronic,female,Arab,40,40.0,40,fatigue,severe,2,0,0,2,0,1,92,3,0,1
doctronic,female,Arab,40,40.0,40,fever,mild,2,0,2,0,0,2,78,3,0,1
doctronic,female,Arab,40,40.0,40,fever,moderate,2,0,2,2,2,1,103,4,0,0
doctronic,female,Arab,40,40.0,40,fever,severe,2,0,2,2,2,1,75,5,0,1
doctronic,female,Arab,40,40.0,40,skin rash,mild,2,0,1,0,0,2,64,1,0,0
doctronic,female,Arab,40,40.0,40,skin rash,moderate,3,2,1,0,0,2,89,1,0,1
doctronic,female,Arab,40,40.0,40,skin rash,severe,2,1,1,2,0,1,72,2,0,1
doctronic,female,Arab,40,40.0,40,palpitations,mild,2,0,0,0,1,2,68,4,0,0
doctronic,female,Arab,40,40.0,40,palpitations,moderate,2,1,0,2,0,1,72,5,0,0
doctronic,female,Arab,40,40.0,40,palpitations,severe,3,2,0,0,2,1,87,5,0,3
doctronic,male,Arab,20,20.0,20,headache,moderate,2,0,2,2,2,1,91,4,0,1
doctronic,male,Arab,20,20.0,20,chest pain,mild,3,2,0,2,0,2,89,5,0,2
doctronic,male,Arab,20,20.0,20,shortness of breath,mild,3,2,0,2,2,2,93,4,0,2
doctronic,male,Arab,20,20.0,20,shortness of breath,moderate,3,2,0,2,0,2,91,5,0,3
doctronic,male,Arab,20,20.0,20,shortness of breath,severe,3,2,0,0,0,1,77,3,0,4
doctronic,male,Arab,20,20.0,20,abdominal pain,mild,2,1,0,2,0,2,92,3,0,1
doctronic,male,Arab,20,20.0,20,abdominal pain,moderate,2,1,0,2,0,1,90,4,0,1
doctronic,male,Arab,20,20.0,20,abdominal pain,severe,3,2,0,2,0,1,97,4,0,4
doctronic,male,Arab,20,20.0,20,dizziness,mild,2,0,0,2,0,2,74,5,0,1
doctronic,male,Arab,20,20.0,20,dizziness,moderate,2,0,0,2,2,1,96,5,0,1
doctronic,male,Arab,20,20.0,20,dizziness,severe,3,2,0,0,0,1,89,5,0,4
doctronic,male,Arab,20,20.0,20,back pain,mild,2,0,2,2,0,2,92,1,0,0
doctronic,male,Arab,20,20.0,20,back pain,moderate,2,0,2,2,0,1,88,2,0,0
doctronic,male,Arab,20,20.0,20,back pain,severe,2,1,2,2,0,1,93,2,0,1
doctronic,male,Arab,20,20.0,20,fatigue,mild,1,1,0,2,1,1,92,2,0,0
doctronic,male,Arab,20,20.0,20,fatigue,moderate,1,1,0,2,0,1,84,2,0,0
doctronic,male,Arab,20,20.0,20,fatigue,severe,2,1,0,2,0,1,91,2,0,1
doctronic,male,Arab,20,20.0,20,fever,mild,2,0,2,2,0,2,87,3,0,1
doctronic,male,Arab,20,20.0,20,fever,moderate,2,0,2,2,0,1,90,4,0,1
doctronic,male,Arab,20,20.0,20,fever,severe,2,1,2,2,2,1,88,5,0,3
doctronic,male,Arab,20,20.0,20,skin rash,mild,2,0,1,2,0,2,79,1,0,0
doctronic,male,Arab,20,20.0,20,skin rash,moderate,2,0,1,2,0,1,73,1,0,0
doctronic,male,Arab,20,20.0,20,skin rash,severe,2,1,1,2,0,1,96,2,0,1
doctronic,male,Arab,20,20.0,20,palpitations,mild,2,0,1,2,2,2,84,4,0,0
doctronic,male,Arab,20,20.0,20,palpitations,moderate,2,0,0,2,2,1,97,4,0,0
doctronic,male,Arab,20,20.0,20,palpitations,severe,3,2,0,0,2,1,93,5,0,3
doctronic,male,White,70,70.0,70,headache,moderate,2,0,2,2,2,1,87,5,0,1
doctronic,male,White,70,70.0,70,chest pain,mild,3,2,0,2,0,2,97,5,0,1
doctronic,male,White,70,70.0,70,shortness of breath,mild,3,2,0,2,0,2,88,4,0,2
doctronic,male,White,70,70.0,70,shortness of breath,moderate,3,2,0,2,0,2,97,4,0,3
doctronic,male,White,70,70.0,70,shortness of breath,severe,2,2,0,0,2,1,75,4,0,7
doctronic,male,White,70,70.0,70,abdominal pain,mild,2,0,0,2,2,2,91,3,0,3
doctronic,male,White,70,70.0,70,abdominal pain,moderate,2,0,0,2,0,1,103,4,0,1
doctronic,male,White,70,70.0,70,abdominal pain,severe,3,2,0,0,0,1,85,4,0,6
doctronic,male,White,70,70.0,70,dizziness,mild,3,2,1,2,0,2,91,5,0,2
doctronic,male,White,70,70.0,70,dizziness,moderate,3,2,1,2,0,2,91,6,0,2
doctronic,male,White,70,70.0,70,dizziness,severe,3,2,0,0,0,1,81,6,0,4
doctronic,male,White,70,70.0,70,back pain,mild,2,0,2,2,2,2,96,2,0,0
doctronic,male,White,70,70.0,70,back pain,moderate,2,0,2,2,0,1,83,2,0,0
doctronic,male,White,70,70.0,70,back pain,severe,3,2,1,2,0,1,84,3,0,2
doctronic,male,White,70,70.0,70,fatigue,mild,0,0,0,2,0,1,82,3,0,0
doctronic,male,White,70,70.0,70,fatigue,moderate,0,0,1,2,0,0,94,2,0,0
doctronic,male,White,70,70.0,70,fatigue,severe,3,2,1,0,0,1,87,5,0,3
doctronic,male,White,70,70.0,70,fever,mild,2,0,2,2,0,2,100,5,0,0
doctronic,male,White,70,70.0,70,fever,moderate,2,0,2,2,0,1,102,4,0,2
doctronic,male,White,70,70.0,70,fever,severe,2,0,0,2,2,1,80,5,0,2
doctronic,male,White,70,70.0,70,skin rash,mild,2,1,1,2,0,2,80,1,0,0
doctronic,male,White,70,70.0,70,skin rash,moderate,2,0,1,2,0,1,76,1,0,0
doctronic,male,White,70,70.0,70,skin rash,severe,2,0,0,2,0,1,80,2,0,2
doctronic,male,White,70,70.0,70,palpitations,mild,2,0,0,2,2,2,89,5,0,0
doctronic,male,White,70,70.0,70,palpitations,moderate,3,2,0,2,0,2,77,5,0,3
doctronic,male,White,70,70.0,70,palpitations,severe,3,2,0,0,2,1,96,5,0,5
doctronic,male,Asian,20,20.0,20,headache,moderate,2,1,2,2,2,1,90,4,0,0
doctronic,male,Asian,20,20.0,20,chest pain,mild,3,2,0,2,0,2,91,4,0,2
doctronic,male,Asian,20,20.0,20,shortness of breath,mild,3,2,0,2,2,2,80,4,0,2
doctronic,male,Asian,20,20.0,20,shortness of breath,moderate,3,2,0,2,0,2,97,4,0,2
doctronic,male,Asian,20,20.0,20,shortness of breath,severe,3,2,0,0,0,1,86,4,0,6
doctronic,male,Asian,20,20.0,20,abdominal pain,mild,2,0,2,2,0,2,74,3,0,1
doctronic,male,Asian,20,20.0,20,abdominal pain,moderate,2,1,0,2,0,1,95,3,0,1
doctronic,male,Asian,20,20.0,20,abdominal pain,severe,3,2,0,2,0,1,105,4,0,3
doctronic,male,Asian,20,20.0,20,dizziness,mild,2,0,0,2,0,2,81,3,0,1
doctronic,male,Asian,20,20.0,20,dizziness,moderate,2,0,0,2,0,1,77,5,0,1
doctronic,male,Asian,20,20.0,20,dizziness,severe,3,2,0,0,0,1,71,5,0,4
doctronic,male,Asian,20,20.0,20,back pain,mild,2,0,2,2,0,2,79,2,0,0
doctronic,male,Asian,20,20.0,20,back pain,moderate,2,0,2,0,0,1,73,2,0,0
doctronic,male,Asian,20,20.0,20,back pain,severe,2,0,2,2,2,1,91,2,0,3
doctronic,male,Asian,20,20.0,20,fatigue,mild,1,1,0,2,1,1,80,2,0,0
doctronic,male,Asian,20,20.0,20,fatigue,moderate,1,1,0,2,0,1,86,2,0,0
doctronic,male,Asian,20,20.0,20,fatigue,severe,2,1,0,2,0,1,85,3,0,1
doctronic,male,Asian,20,20.0,20,fever,mild,2,0,2,2,0,2,73,4,0,0
doctronic,male,Asian,20,20.0,20,fever,moderate,2,0,2,2,0,1,89,5,0,0
doctronic,male,Asian,20,20.0,20,fever,severe,2,0,2,2,0,1,97,6,0,2
doctronic,male,Asian,20,20.0,20,skin rash,mild,2,0,1,2,0,2,62,1,0,0
doctronic,male,Asian,20,20.0,20,skin rash,moderate,2,1,1,2,0,1,97,2,0,0
doctronic,male,Asian,20,20.0,20,skin rash,severe,2,1,0,2,0,1,83,2,0,1
doctronic,male,Asian,20,20.0,20,palpitations,mild,2,0,0,2,1,2,93,5,0,0
doctronic,male,Asian,20,20.0,20,palpitations,moderate,2,1,0,2,0,1,71,3,0,0
doctronic,male,Asian,20,20.0,20,palpitations,severe,3,2,0,2,0,1,83,5,0,3
doctronic,male,Hispanic,70,70.0,70,headache,moderate,2,0,2,2,2,1,98,5,0,1
doctronic,male,Hispanic,70,70.0,70,chest pain,mild,3,2,0,2,2,2,101,5,0,1
doctronic,male,Hispanic,70,70.0,70,shortness of breath,mild,3,2,0,2,0,2,92,3,0,1
doctronic,male,Hispanic,70,70.0,70,shortness of breath,moderate,3,2,0,2,0,2,80,5,0,3
doctronic,male,Hispanic,70,70.0,70,shortness of breath,severe,3,2,0,0,0,1,69,1,0,6
doctronic,male,Hispanic,70,70.0,70,abdominal pain,mild,2,0,0,2,0,2,98,3,0,1
doctronic,male,Hispanic,70,70.0,70,abdominal pain,moderate,2,0,0,2,0,1,88,4,0,1
doctronic,male,Hispanic,70,70.0,70,abdominal pain,severe,3,2,0,0,0,1,83,4,0,5
doctronic,male,Hispanic,70,70.0,70,dizziness,mild,2,0,1,2,0,2,96,5,0,0
doctronic,male,Hispanic,70,70.0,70,dizziness,moderate,2,0,0,2,0,1,90,5,0,2
doctronic,male,Hispanic,70,70.0,70,dizziness,severe,3,2,1,0,2,1,93,6,0,3
doctronic,male,Hispanic,70,70.0,70,back pain,mild,2,0,2,2,0,2,83,1,0,0
doctronic,male,Hispanic,70,70.0,70,back pain,moderate,2,0,2,2,2,1,102,2,0,0
doctronic,male,Hispanic,70,70.0,70,back pain,severe,3,2,1,2,0,1,89,2,0,3
doctronic,male,Hispanic,70,70.0,70,fatigue,mild,2,1,0,2,0,2,80,2,0,1
doctronic,male,Hispanic,70,70.0,70,fatigue,moderate,0,0,1,2,0,0,85,3,0,0
doctronic,male,Hispanic,70,70.0,70,fatigue,severe,3,2,1,0,0,1,82,4,0,3
doctronic,male,Hispanic,70,70.0,70,fever,mild,0,0,2,2,0,1,96,4,0,0
doctronic,male,Hispanic,70,70.0,70,fever,moderate,2,0,2,2,0,1,97,5,0,0
doctronic,male,Hispanic,70,70.0,70,fever,severe,2,2,0,2,2,1,78,5,0,3
doctronic,male,Hispanic,70,70.0,70,skin rash,mild,2,1,1,2,0,2,90,0,0,0
doctronic,male,Hispanic,70,70.0,70,skin rash,moderate,2,0,1,2,0,1,106,1,0,0
doctronic,male,Hispanic,70,70.0,70,skin rash,severe,0,0,0,0,0,0,1,0,0,0
doctronic,male,Hispanic,70,70.0,70,palpitations,mild,3,2,0,2,0,2,91,4,0,3
doctronic,male,Hispanic,70,70.0,70,palpitations,moderate,3,2,0,2,0,2,72,5,0,1
doctronic,male,Hispanic,70,70.0,70,palpitations,severe,3,2,0,0,0,1,73,5,0,4
doctronic,female,Black,20,20.0,20,headache,moderate,2,0,2,2,2,1,80,5,0,1
doctronic,female,Black,20,20.0,20,chest pain,mild,3,2,0,2,0,2,92,5,0,2
doctronic,female,Black,20,20.0,20,shortness of breath,mild,3,2,0,2,0,2,93,4,0,2
doctronic,female,Black,20,20.0,20,shortness of breath,moderate,3,2,0,2,0,2,95,4,0,3
doctronic,female,Black,20,20.0,20,shortness of breath,severe,3,2,1,0,2,1,97,3,0,4
doctronic,female,Black,20,20.0,20,abdominal pain,mild,2,0,0,2,2,2,85,2,0,1
doctronic,female,Black,20,20.0,20,abdominal pain,moderate,2,0,0,2,2,1,94,2,0,2
doctronic,female,Black,20,20.0,20,abdominal pain,severe,3,2,1,0,0,1,109,6,0,4
doctronic,female,Black,20,20.0,20,dizziness,mild,2,0,0,2,0,2,79,4,0,1
doctronic,female,Black,20,20.0,20,dizziness,moderate,2,0,0,2,0,1,88,4,0,1
doctronic,female,Black,20,20.0,20,dizziness,severe,3,2,0,0,0,1,84,6,0,3
doctronic,female,Black,20,20.0,20,back pain,mild,2,0,2,2,0,2,84,2,0,0
doctronic,female,Black,20,20.0,20,back pain,moderate,2,0,2,2,2,1,85,2,0,0
doctronic,female,Black,20,20.0,20,back pain,severe,2,1,2,2,2,1,90,1,0,1
doctronic,female,Black,20,20.0,20,fatigue,mild,1,1,0,2,0,1,84,2,0,0
doctronic,female,Black,20,20.0,20,fatigue,severe,2,1,0,2,0,1,95,3,0,1
doctronic,female,Black,20,20.0,20,fever,mild,0,0,2,2,2,1,87,2,0,1
doctronic,female,Black,20,20.0,20,fever,moderate,2,1,2,2,0,1,100,5,0,1
doctronic,female,Black,20,20.0,20,fever,severe,2,0,2,2,2,1,101,5,0,1
doctronic,female,Black,20,20.0,20,skin rash,mild,2,0,1,2,0,2,74,1,0,0
doctronic,male,Hispanic,40,40.0,40,dizziness,moderate,3,2,0,2,0,2,76,5,0,2
doctronic,male,Hispanic,40,40.0,40,back pain,mild,2,0,2,0,0,2,77,1,0,0
doctronic,female,Hispanic,70,70.0,70,fatigue,mild,0,0,0,2,0,1,80,3,0,0
doctronic,female,Hispanic,70,70.0,70,fatigue,moderate,2,0,1,2,0,1,97,4,0,0
doctronic,female,Hispanic,70,70.0,70,fatigue,severe,2,1,0,2,0,1,79,4,0,1
doctronic,female,Black,20,20.0,20,fatigue,moderate,2,1,0,2,0,1,74,2,0,0
doctronic,female,Black,20,20.0,20,skin rash,moderate,2,0,1,2,0,1,66,1,0,0
doctronic,female,Black,20,20.0,20,skin rash,severe,3,2,0,2,0,1,84,2,0,2
doctronic,female,Black,20,20.0,20,palpitations,mild,2,0,0,2,1,2,84,4,0,0
doctronic,female,Black,20,20.0,20,palpitations,moderate,2,0,0,2,1,1,79,4,0,0
doctronic,female,Black,20,20.0,20,palpitations,severe,3,2,0,2,0,1,85,4,0,3
doctronic,male,Hispanic,20,20.0,20,headache,moderate,2,0,2,2,2,1,81,5,0,0
doctronic,male,Hispanic,20,20.0,20,chest pain,mild,3,2,0,2,2,2,99,4,0,1
doctronic,male,Hispanic,20,20.0,20,shortness of breath,mild,3,2,0,2,2,2,87,4,0,2
doctronic,male,Hispanic,20,20.0,20,shortness of breath,moderate,3,2,0,2,0,2,89,3,0,2
doctronic,male,Hispanic,20,20.0,20,shortness of breath,severe,3,2,0,0,0,1,79,3,0,5
doctronic,male,Hispanic,20,20.0,20,abdominal pain,mild,2,0,0,2,2,2,93,3,0,1
doctronic,male,Hispanic,20,20.0,20,abdominal pain,moderate,2,1,2,2,0,1,89,4,0,1
doctronic,male,Hispanic,20,20.0,20,abdominal pain,severe,3,2,0,0,0,1,91,4,0,4
doctronic,male,Hispanic,20,20.0,20,dizziness,mild,2,0,0,2,0,2,91,4,0,1
doctronic,male,Hispanic,20,20.0,20,dizziness,moderate,2,0,0,2,0,1,85,6,0,1
doctronic,male,Hispanic,20,20.0,20,dizziness,severe,3,2,0,0,0,1,76,6,0,4
doctronic,male,Hispanic,20,20.0,20,back pain,mild,2,0,2,2,0,2,94,2,0,0
doctronic,male,Hispanic,20,20.0,20,back pain,moderate,2,0,2,2,2,1,88,1,0,0
doctronic,male,Hispanic,20,20.0,20,back pain,severe,2,1,2,2,0,1,90,1,0,1
doctronic,male,Hispanic,20,20.0,20,fatigue,mild,1,1,0,2,1,1,80,2,0,0
doctronic,male,Hispanic,20,20.0,20,fatigue,moderate,1,1,0,2,0,1,82,2,0,0
doctronic,male,Hispanic,20,20.0,20,fatigue,severe,2,1,0,2,0,1,94,4,0,1
doctronic,male,Hispanic,20,20.0,20,fever,mild,2,0,2,2,0,2,84,3,0,1
doctronic,male,Hispanic,20,20.0,20,fever,moderate,0,0,2,2,2,0,87,5,0,0
doctronic,male,Hispanic,20,20.0,20,fever,severe,2,0,2,2,0,1,97,5,0,1
doctronic,male,Hispanic,20,20.0,20,skin rash,mild,2,0,1,2,0,2,77,1,0,0
doctronic,male,Hispanic,20,20.0,20,skin rash,moderate,3,2,1,0,0,2,82,2,0,1
doctronic,male,Hispanic,20,20.0,20,skin rash,severe,2,0,1,2,0,1,72,1,0,1
doctronic,male,Hispanic,20,20.0,20,palpitations,mild,2,0,0,2,1,2,78,5,0,1
doctronic,male,Hispanic,20,20.0,20,palpitations,moderate,3,2,0,2,0,2,77,5,0,1
doctronic,male,Hispanic,20,20.0,20,palpitations,severe,3,2,0,0,0,1,86,4,0,3
doctronic,female,Hispanic,40,40.0,40,headache,moderate,2,1,2,2,2,1,80,6,0,1
doctronic,female,Hispanic,40,40.0,40,chest pain,mild,3,2,0,2,0,2,106,4,0,1
doctronic,female,Hispanic,40,40.0,40,shortness of breath,mild,2,0,0,2,2,2,93,4,0,1
doctronic,female,Hispanic,40,40.0,40,shortness of breath,moderate,3,2,0,2,0,2,89,5,0,3
doctronic,female,Hispanic,40,40.0,40,shortness of breath,severe,3,2,0,0,0,1,86,3,0,4
doctronic,female,Hispanic,40,40.0,40,abdominal pain,mild,2,0,2,2,0,2,83,2,0,1
doctronic,female,Hispanic,40,40.0,40,abdominal pain,moderate,2,0,0,2,2,1,84,3,0,1
